key,title,venue,year,official,source
guo-etal-2026-counteracting,Counteracting the Matthew Effect in Self-Improvement of LVLMs through Head-Tail Re-balancing,ACL,2026,True,acl_anthology
dong2025stp,STP: Self-play LLM Theorem Provers with Iterative Conjecturing and Proving,ICML,2025,True,openreview
tsoukalas2025learning,Learning Interestingness in Automated Mathematical Theory Formation,NeurIPS,2025,True,openreview
zhao2026achieving,Achieving Expert-Level Agent from Foundation Model via Complexity Curriculum Reinforcement Learning with Synthetic Data,ICLR,2026,True,openreview
zhou2023lima,LIMA: Less Is More for Alignment,NeurIPS 2023 poster,2023,True,https://openreview.net/forum?id=KBMOKmX2he
Shumailov2024,AI models collapse when trained on recursively generated data,Nature,2024,True,https://citation-needed.springer.com/v2/references/10.1038/s41586-024-07566-y?format=bibtex&flavour=citation
pmlr-v235-fu24i,Towards Theoretical Understandings of Self-Consuming Generative Models,ICML,2024,True,pmlr
gerstgrasser2024is,Is Model Collapse Inevitable? Breaking the Curse of Recursion by Accumulating Real and Synthetic Data,ECCV 2024 Workshop The Dark Side of Generative AIs and Beyond,2024,True,supplemental_sources/accumulation.bib
falahati2026curated,Curated Synthetic Data Doesn’t Have to Collapse: A Theoretical Study of Generative Retraining with Pluralistic Preferences,ICML,2026,True,review40_official.bib
Wei_2025_ICCV,GTR: Guided Thought Reinforcement Prevents Thought Collapse in RL-based VLM Agent Training,ICCV,2025,True,cvf
DBLP:conf/nips/ZhengC00WZL0LXZ23,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,NeurIPS 2023,2023,True,https://openreview.net/forum?id=RAW0XaE5nq
shen-etal-2023-large,Large Language Models are Not Yet Human-Level Evaluators for Abstractive Summarization,Findings of EMNLP,2023,True,acl_anthology
chen-etal-2024-humans,Humans or LLMs as the Judge? A Study on Judgement Bias,EMNLP,2024,True,acl_anthology
hwang-etal-2025-fooling,Fooling the LVLM Judges: Visual Biases in LVLM-Based Evaluation,EMNLP,2025,True,acl_anthology
pmlr-v202-gao23h,Scaling Laws for Reward Model Overoptimization,ICML,2023,True,pmlr
wen2025rethinking,Rethinking Reward Model Evaluation: Are We Barking up the Wrong Tree?,ICLR,2025,True,openreview
Liao_2025_CVPR,Can Large Vision-Language Models Correct Semantic Grounding Errors By Themselves?,CVPR,2025,True,cvf
zhou2024calibrated,Calibrated Self-Rewarding Vision Language Models,NeurIPS,2024,True,openreview
DBLP:conf/aaai/Zhao0XLLH24,ExpeL: LLM Agents Are Experiential Learners,AAAI 2024,2024,True,https://openreview.net/forum?id=lErv7eTDvS
shinn2023reflexion,Reflexion: language agents with verbal reinforcement learning,NeurIPS,2023,True,openreview
zhang2026darwin,"Darwin G\""odel Machine: Open-Ended Evolution of Self-Improving Agents",The Fourteenth International Conference on Learning Representations,2026,True,supplemental_sources/dgm.bib
su-etal-2026-mistake,Mistake Notebook Learning: Batch-Clustered Failures for Training-Free Agent Adaptation,Findings of ACL,2026,True,acl_anthology
liu-etal-2025-contextual,Contextual Experience Replay for Self-Improvement of Language Agents,ACL,2025,True,acl_anthology
ge-etal-2025-samule,SAMULE: Self-Learning Agents Enhanced by Multi-level Reflection,EMNLP,2025,True,acl_anthology
Zhang2026evolving,Evolving Generalist Virtual Agents with Generative and Associative Memory,AAAI,2026,True,meta
shen2026structurally,Structurally Aligned Subtask-Level Memory for Software Engineering Agents,ICML,2026,True,openreview
hu2026evaluating,EVALUATING MEMORY IN LLM AGENTS VIA INCRE- MENTAL MULTI-TURN INTERACTIONS,ICLR,2026,True,openreview
shao2026your,Your Agent May Misevolve: Emergent Risks in Self-evolving LLM Agents,ICLR,2026,True,openreview
yin-etal-2026-reasoning,The Reasoning Trap: How Enhancing LLM Reasoning Amplifies Tool Hallucination,ACL,2026,True,acl_anthology
zhang2025agent,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,ICLR,2025,True,openreview
agnihotri2026multiobjective,Multi-Objective Preference Optimization: Improving Human Alignment of Generative Models,ICML,2026,True,openreview
hu2025automated,Automated Design of Agentic Systems,ICLR,2025,True,openreview
zelikman2024selftaught,Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation,COLM,2024,True,openreview
xu2025metatextgrad,metaTextGrad: Automatically optimizing language model optimizers,NeurIPS,2025,True,openreview
el-etal-2025-inefficiencies,Inefficiencies of Meta Agents for Agent Design,Findings of EMNLP,2025,True,acl_anthology
yang2025spend,Spend Wisely: Maximizing Post-Training Gains in Iterative Synthetic Data Bootstrapping,NeurIPS,2025,True,openreview
alazraki2026scaling,Scaling Small Agents Through Strategy Auctions,ICML,2026,True,openreview
yuksekgonul2026learning,Learning to Discover at Test Time,ICML,2026,True,openreview
cheng2025language,Language Modeling by Language Models,NeurIPS,2025,True,openreview
Gao_2024_CVPR,CLOVA: A Closed-LOop Visual Assistant with Tool Usage and Update,CVPR,2024,True,cvf
wu2024autogen,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversations,COLM,2024,True,https://openreview.net/forum?id=BAakY1hNKS
hong2024metagpt,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,ICLR 2024 oral,2024,True,https://openreview.net/forum?id=VtmBAGCN7o
DBLP:conf/nips/YangJWLYNP24,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,NeurIPS 2024,2024,True,https://openreview.net/forum?id=30hggYAY0Z
zelikman2022star,STaR: Bootstrapping Reasoning With Reasoning,NeurIPS,2022,True,openreview
hazra2025revolve,REvolve: Reward Evolution with Large Language Models using Human Feedback,ICLR,2025,True,openreview
madaan2023selfrefine,Self-Refine: Iterative Refinement with Self-Feedback,NeurIPS,2023,True,openreview
chen2024teaching,Teaching Large Language Models to Self-Debug,ICLR,2024,True,openreview
olausson2024is,Is Self-Repair a Silver Bullet for Code Generation?,ICLR,2024,True,openreview
tandon-etal-2022-learning,Learning to repair: Repairing model output errors after deployment using a dynamic memory of feedback,Findings of NAACL,2022,True,acl_anthology
gao-etal-2024-self-evolving,Self-Evolving GPT: A Lifelong Autonomous Experiential Learner,ACL,2024,True,acl_anthology
pmlr-v235-chen24j,Self-Play Fine-Tuning Converts Weak Language Models to Strong Language Models,ICML,2024,True,https://proceedings.mlr.press/v235/chen24j.html
zelikman2024quietstar,Quiet-STaR: Language Models Can Teach Themselves to Think Before Speaking,COLM,2024,True,https://openreview.net/forum?id=oRXPiSOGH9
qu2024recursive,Recursive Introspection: Teaching Language Model Agents How to Self-Improve,NeurIPS,2024,True,openreview
pourcel2025selfimproving,Self-Improving Language Models for Evolutionary Program Synthesis: A Case Study on ARC-AGI,ICML,2025,True,openreview
lin2026goedelproverv,Goedel-Prover-V2: Scaling Formal Theorem Proving with Scaffolded Data Synthesis and Self-Correction,ICLR,2026,True,openreview
surina2025algorithm,Algorithm Discovery With LLMs: Evolutionary Search Meets Reinforcement Learning,COLM,2025,True,openreview
kumarappan2025leanagent,LeanAgent: Lifelong Learning for Formal Theorem Proving,ICLR,2025,True,openreview
poesia2024learning,Learning Formal Mathematics From Intrinsic Motivation,NeurIPS,2024,True,openreview
